#sigma chi p(cyclic) p(noncyc) p(same-direction) p(opposite-direction)
0.01 0 0 0.24841 0.497134 2e-06 
0.025 0 0 0.246368 0.49328 2e-05 
0.05 9.89838e-05 2.4e-05 0.24244 0.485266 0.000126 
0.075 0.000159236 3.8e-05 0.238602 0.47666 0.00032 
0.1 0.000306992 7.2e-05 0.234462 0.469108 0.000502 
0.25 0.00181779 0.00039 0.214156 0.425258 0.00288 
0.5 0.00751268 0.001404 0.18548 0.363908 0.010674 
0.75 0.0164555 0.002782 0.16628 0.316704 0.021218 
1 0.0268409 0.00421 0.15264 0.282542 0.031212 
2.5 0.0805733 0.010704 0.122144 0.193678 0.071834 
5 0.117627 0.014992 0.112462 0.158482 0.096308 
7.5 0.132379 0.016676 0.109296 0.147202 0.104874 
10 0.14227 0.017924 0.108062 0.142076 0.109556 
25 0.156432 0.01963 0.105856 0.131786 0.119026 
50 0.163128 0.020496 0.105148 0.12757 0.122524 
75 0.162005 0.020226 0.104622 0.126896 0.122634 
100 0.165163 0.020538 0.103812 0.125836 0.123424 
